Questions;Answers;Labels
Apa artinya memiliki penyakit atau gangguan mental?;Penyakit mental adalah kondisi kesehatan yang mengganggu pikiran, emosi, hubungan, dan fungsi sehari-hari seseorang. Penyakit mental termasuk dalam rangkaian keparahan: beberapa cukup ringan dan hanya mengganggu beberapa aspek kehidupan, seperti fobia tertentu. Di ujung lain spektrum terletak penyakit mental yang serius, yang mengakibatkan gangguan fungsional utama dan gangguan dalam kehidupan sehari-hari. Ini termasuk gangguan seperti depresi berat, skizofrenia, dan gangguan bipolar, dan mungkin mengharuskan orang tersebut menerima perawatan di rumah sakit. Penyakit mental dapat diobati dengan kombinasi obat-obatan dan dukungan sosial. Perawatan ini sangat efektif, dengan 70-90 persen individu yang menerima perawatan mengalami pengurangan gejala dan peningkatan kualitas hidup. Dengan penanganan yang tepat, sangat memungkinkan bagi pengidap gangguan jiwa untuk bisa mandiri dan sukses.;definisi
Siapa saja yang dapat terkena penyakit atau gangguan mental?;Berdasarkan Sistem Registrasi Sampel yang dilakukan Badan Litbangkes tahun 2016, diperoleh data bunuh diri pertahun sebanyak 1.800 orang atau setiap hari ada 5 orang melakukan bunuh diri, serta 47,7% korban bunuh diri adalah pada usia 10-39 tahun yang merupakan usia anak remaja dan usia produktif. Masalah kesehatan jiwa di Indonesia terkait dengan masalah tingginya prevalensi orang dengan gangguan jiwa. Untuk saat ini Indonesia memiliki prevalensi orang dengan gangguan jiwa sekitar 1 dari 5 penduduk, artinya sekitar 20% populasi di Indonesia itu mempunyai potensi-potensi masalah gangguan jiwa.;mempengaruhi_siapa
Apa yang menyebabkan terjadinya penyakit atau gangguan mental?;Penyebab gangguan mental belum diketahui secara pasti. Namun, kondisi ini diketahui terkait dengan faktor biologis dan psikologis. Faktor biologis (atau disebut juga gangguan mental organik) yang dapat menyebabkan gangguan mental antara lain gangguan pada fungsi sel saraf di otak, infeksi bakteri, kelainan bawaan atau cedera pada otak, kerusakan otak akibat terbentur atau kecelakaan, adanya riwayat gangguan mental dalam keluarga, kekurangan nutrisi, penyalahgunaan NAPZA dalam jangka panjang, dan sebagainya. Adapun faktor psikologis yang dapat menyebabkan gangguan mental antara lain peristiwa traumatik, rasa kehilangan, kurangnya kemampuan bergaul dengan orang lain, perceraian, putus hubungan, ditinggalkan orang yang disayangi, perasaan rendah diri, perasaan tidak mampu, dan kesepian.;penyebab
Apa saja gejala-gejala penanda penyakit mental?;"Gejala gangguan kesehatan mental sangat bervariasi tergantung pada jenis dan tingkat keparahan kondisinya. Berikut ini adalah daftar gejala umum yang mungkin menunjukkan gangguan kesehatan mental, terutama ketika beberapa gejala diekspresikan sekaligus.
Pada orang dewasa:
Pikiran bingung
Kesedihan atau lekas marah yang bertahan lama
Suasana tertinggi dan terendah yang ekstrem
Ketakutan, kekhawatiran, atau kecemasan yang berlebihan
Penarikan sosial
Perubahan dramatis dalam kebiasaan makan atau tidur
Perasaan marah yang kuat
Delusi atau halusinasi (melihat atau mendengar hal-hal yang sebenarnya tidak ada)
Meningkatkan ketidakmampuan untuk mengatasi masalah dan aktivitas sehari-hari
Pikiran untuk bunuh diri
Penolakan masalah yang jelas
Banyak masalah fisik yang tidak dapat dijelaskan
Penyalahgunaan obat-obatan dan/atau alkohol

Pada anak yang lebih besar dan pra-remaja:
Penyalahgunaan obat-obatan dan/atau alkohol
Ketidakmampuan untuk mengatasi masalah dan aktivitas sehari-hari
Perubahan kebiasaan tidur dan/atau makan
Keluhan masalah fisik yang berlebihan
Menentang otoritas, bolos sekolah, mencuri, atau merusak properti
Ketakutan yang intens untuk menambah berat badan
Suasana hati negatif yang bertahan lama, seringkali disertai dengan nafsu makan yang buruk dan pikiran tentang kematian
Ledakan kemarahan yang sering terjadi

Pada anak yang lebih kecil:
Perubahan kinerja sekolah
Nilai buruk meskipun ada upaya keras
Kekhawatiran atau kecemasan yang berlebihan
Hiperaktif
Mimpi buruk yang terus-menerus
Ketidaktaatan yang terus-menerus dan/atau perilaku agresif
Sering marah-marah";definisi
Apakah penderita gangguan mental bisa sembuh?;Penderita gangguan mental tentu saja bisa sembuh. Namun mereka harus menjalani serangkaian pengobatan terlebih dahulu sesuai kondisi yang dialami. Pengobatan gangguan jiwa dilakukan tergantung pada jenis gangguan yang muncul serta seberapa parah kondisi pengidapnya. Gangguan jiwa umumnya ditangani dengan pemberian obat-obatan dan terapi perilaku kognitif. Pada beberapa kondisi, pengidap gangguan jiwa juga akan disarankan untuk melakukan perubahan gaya hidup menjadi lebih sehat.;definisi
Apa yang harus saya lakukan jika saya mengenal seseorang yang tampaknya memiliki gejala gangguan mental?;Kami menyarankan mereka yang memiliki gejala berbicara dengan teman dan anggota keluarga mereka dan mencari nasihat dari profesional kesehatan mental. Semakin cepat kondisi kesehatan mental diidentifikasi dan diobati, maka semakin cepat mereka dapat sembuh. Jika Anda mengenal seseorang yang sedang mengalami masalah, jangan berasumsi bahwa masalah tersebut akan selesai dengan sendirinya. Beri tahu mereka bahwa Anda peduli dengan mereka, dan ada pilihan perawatan yang bisa membantu mereka sembuh. Bicaralah dengan profesional kesehatan mental atau konselor jika menurut Anda teman atau anggota keluarga Anda mengalami gejala kondisi kesehatan mental. Jika orang terkasih yang memiliki gejala tahu bahwa Anda mendukung mereka, mereka akan lebih mungkin mencari bantuan.;cari_bantuan
Bagaimana saya bisa menemukan profesional kesehatan mental untuk diri saya atau anak saya?;Kenyamanan dengan tenaga profesional yang bekerja dengan Anda atau anak Anda sangat penting untuk keberhasilan perawatan. Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan penelitian, dan bisa dimulai dengan mencarinya di wilayah Anda.;profesional_yang_benar
Pilihan pengobatan apa saja yang tersedia untuk penderita penyakit mental?;Sama seperti ada berbagai jenis obat untuk penyakit fisik, pilihan pengobatan yang berbeda tersedia untuk individu dengan penyakit mental. Perawatan bekerja secara berbeda untuk orang yang berbeda. Penting untuk menemukan apa yang paling cocok untuk Anda.;pilihan_pengobatan
Jika saya terlibat dalam perawatan, apa yang perlu saya ketahui?;"Karena memulai perawatan adalah langkah besar bagi individu dan keluarga, itu bisa sangat melelahkan. Penting untuk terlibat dan terlibat dalam proses perawatan sebanyak mungkin. Beberapa pertanyaan yang perlu Anda jawab meliputi:
Apa yang diketahui tentang penyebab penyakit khusus ini?
Apakah ada diagnosis lain di mana gejala-gejala ini biasa terjadi?
Apakah Anda biasanya menyertakan pemeriksaan fisik atau neurologis?
Apakah ada tes atau ujian tambahan yang akan Anda rekomendasikan saat ini?
Apakah Anda akan menyarankan pendapat independen dari psikiater lain pada saat ini?
Program pengobatan apa yang paling membantu dengan diagnosis ini?
Apakah program ini akan melibatkan layanan dari spesialis lain? Jika demikian, siapa yang akan bertanggung jawab untuk mengoordinasikan layanan ini?
Apa yang Anda lihat sebagai peran keluarga dalam program pengobatan ini?
Berapa banyak akses yang dimiliki keluarga terhadap individu yang memberikan perawatan?
Obat apa yang biasanya digunakan untuk diagnosis ini?
Berapa banyak pengalaman yang Anda miliki dalam merawat individu dengan penyakit ini?
Apa yang bisa saya lakukan untuk membantu Anda dalam perawatan?";langkah_langkah
Apa saja perbedaan para tenaga profesional kesehatan mental?;Ada banyak jenis profesional kesehatan mental. Berbagai penyedia dan layanan mereka mungkin membingungkan. Masing-masing memiliki berbagai tingkat pendidikan, pelatihan, dan mungkin memiliki bidang keahlian yang berbeda. Menemukan profesional yang paling sesuai dengan kebutuhan Anda mungkin memerlukan beberapa penelitian.;jenis_profesional
